"No.","Time","Source","Destination","Protocol","Length","Info"
"4880","40.109717","172.16.254.128","216.58.208.226","TLSv1.2","100","Application Data"
"4881","40.110167","216.58.208.238","172.16.254.128","TLSv1.2","138","Application Data, Application Data"
"4884","40.112449","172.16.254.128","216.58.208.238","TLSv1.2","100","Application Data"
"4937","40.531315","172.16.254.128","216.58.208.237","TLSv1.2","508","Application Data"
"4939","40.577872","216.58.208.237","172.16.254.128","TLSv1.2","132","Application Data"
"4940","40.577874","216.58.208.237","172.16.254.128","TLSv1.2","865","Application Data"
"4942","40.582580","216.58.208.237","172.16.254.128","TLSv1.2","275","Application Data, Application Data"
"4943","40.585285","172.16.254.128","216.58.208.237","TLSv1.2","100","Application Data"
"4947","40.723907","172.16.254.128","216.58.208.227","TLSv1.2","505","Application Data"
"4951","40.735982","216.58.208.227","172.16.254.128","TLSv1.2","161","Application Data"
"4952","40.738984","216.58.208.227","172.16.254.128","TLSv1.2","1514","Application Data"
"4953","40.738986","216.58.208.227","172.16.254.128","TLSv1.2","1514","Application Data[TCP segment of a reassembled PDU]"
"4954","40.738988","216.58.208.227","172.16.254.128","TLSv1.2","1514","Application Data[TCP segment of a reassembled PDU]"
"4955","40.738989","216.58.208.227","172.16.254.128","TLSv1.2","784","Application Data, Application Data"
"4961","40.779606","172.16.254.128","216.58.208.227","TLSv1.2","100","Application Data"
"4982","41.038353","172.16.254.128","31.13.93.3","TLSv1.2","435","Application Data"
"4986","41.046152","172.16.254.128","88.221.83.67","TLSv1.2","571","Client Hello"
"4990","41.047760","172.16.254.128","88.221.83.67","TLSv1.2","571","Client Hello"
"4992","41.058742","88.221.83.67","172.16.254.128","TLSv1.2","180","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"4993","41.059345","172.16.254.128","88.221.83.67","TLSv1.2","101","Change Cipher Spec, Encrypted Handshake Message"
"4995","41.060307","88.221.83.67","172.16.254.128","TLSv1.2","180","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"4996","41.060793","172.16.254.128","88.221.83.67","TLSv1.2","101","Change Cipher Spec, Encrypted Handshake Message"
"4998","41.069134","31.13.93.3","172.16.254.128","TLSv1.2","99","Application Data"
"5004","41.174721","31.13.93.3","172.16.254.128","TLSv1.2","116","Application Data"
"5159","51.191720","172.16.254.128","31.13.93.3","TLSv1.2","274","Client Hello"
"5164","51.222842","31.13.93.3","172.16.254.128","TLSv1.2","1514","Server Hello"
"5166","51.222844","31.13.93.3","172.16.254.128","TLSv1.2","400","Certificate, Server Key Exchange, Server Hello Done"
"5170","51.229672","172.16.254.128","31.13.93.3","TLSv1.2","245","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"5172","51.231451","172.16.254.128","31.13.93.3","TLSv1.2","111","Application Data"
"5174","51.231985","172.16.254.128","31.13.93.3","TLSv1.2","99","Application Data"
"5176","51.232721","172.16.254.128","31.13.93.3","TLSv1.2","538","Application Data"
"5190","51.277243","31.13.93.3","172.16.254.128","TLSv1.2","385","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message, Application Data"
"5201","51.313487","31.13.93.3","172.16.254.128","TLSv1.2","99","Application Data"
"5214","51.442803","31.13.93.3","172.16.254.128","TLSv1.2","208","Application Data, Application Data"
"5235","51.475406","31.13.93.3","172.16.254.128","TLSv1.2","1514","Application Data, Application Data"
"5236","51.475407","31.13.93.3","172.16.254.128","TLSv1.2","1514","Application Data[TCP segment of a reassembled PDU]"
"5238","51.475408","31.13.93.3","172.16.254.128","TLSv1.2","1514","Application Data[TCP segment of a reassembled PDU]"
"5239","51.475408","31.13.93.3","172.16.254.128","TLSv1.2","1431","Application Data, Application Data"
"5253","51.567650","172.16.254.128","88.221.83.80","TLSv1.2","281","Client Hello"
"5254","51.568047","172.16.254.128","88.221.83.80","TLSv1.2","281","Client Hello"
"5266","51.591502","88.221.83.80","172.16.254.128","TLSv1.2","1514","Server Hello"
"5268","51.591503","88.221.83.80","172.16.254.128","TLSv1.2","526","Certificate, Server Hello Done"
"5269","51.591503","88.221.83.80","172.16.254.128","TLSv1.2","1514","Server Hello"
"5271","51.591506","88.221.83.80","172.16.254.128","TLSv1.2","526","Certificate, Server Hello Done"
"5276","51.593840","172.16.254.128","88.221.83.80","TLSv1.2","429","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"5277","51.595516","172.16.254.128","88.221.83.80","TLSv1.2","429","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"5280","51.612938","88.221.83.80","172.16.254.128","TLSv1.2","292","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"5281","51.612940","88.221.83.80","172.16.254.128","TLSv1.2","292","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"5282","51.614085","172.16.254.128","88.221.83.80","TLSv1.2","107","Application Data"
"5283","51.614233","172.16.254.128","88.221.83.80","TLSv1.2","95","Application Data"
"5286","51.614930","172.16.254.128","88.221.83.80","TLSv1.2","543","Application Data"
"5287","51.615168","172.16.254.128","88.221.83.80","TLSv1.2","343","Application Data"
"5290","51.622798","88.221.83.80","172.16.254.128","TLSv1.2","107","Application Data"
"5295","51.645424","88.221.83.80","172.16.254.128","TLSv1.2","290","Application Data"
"5311","51.653569","88.221.83.80","172.16.254.128","TLSv1.2","535","Application Data"
"5326","51.659340","172.16.254.128","23.192.162.171","TLSv1.2","286","Client Hello"
"5331","51.661533","88.221.83.80","172.16.254.128","TLSv1.2","1502","Application Data[TCP segment of a reassembled PDU]"
"5346","51.670456","88.221.83.80","172.16.254.128","TLSv1.2","1514","Application Data[TCP segment of a reassembled PDU]"
"5350","51.675170","172.16.254.128","88.221.83.80","TLSv1.2","95","Application Data"
"5363","51.690333","88.221.83.80","172.16.254.128","TLSv1.2","1502","Application Data[TCP segment of a reassembled PDU]"
"5370","51.694276","88.221.83.80","172.16.254.128","TLSv1.2","1052","Application Data"
"5372","51.696418","172.16.254.128","88.221.83.80","TLSv1.2","95","Application Data"
"5376","51.740016","23.192.162.171","172.16.254.128","TLSv1.2","1502","Server Hello"
"5379","51.746336","23.192.162.171","172.16.254.128","TLSv1.2","550","Certificate, Server Hello Done"
"5380","51.747018","172.16.254.128","23.192.162.171","TLSv1.2","429","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"5382","51.808004","23.192.162.171","172.16.254.128","TLSv1.2","308","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"5383","51.809558","172.16.254.128","23.192.162.171","TLSv1.2","107","Application Data"
"5385","51.809940","172.16.254.128","23.192.162.171","TLSv1.2","95","Application Data"
"5387","51.810399","172.16.254.128","23.192.162.171","TLSv1.2","689","Application Data"
"5392","51.865808","23.192.162.171","172.16.254.128","TLSv1.2","107","Application Data"
"5393","51.926931","23.192.162.171","172.16.254.128","TLSv1.2","1358","Application Data"
"5408","61.624825","88.221.83.80","172.16.254.128","TLSv1.2","81","Encrypted Alert"
