"Length","source-destination"
1472,"216.58.208.227,172.16.254.128"
1472,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1472,"216.58.208.227,172.16.254.128"
1472,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1472,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
968,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
54,"172.16.254.128,216.58.208.227"
1472,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1430,"216.58.208.227,172.16.254.128"
1472,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1472,"216.58.208.227,172.16.254.128"
1472,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
54,"172.16.254.128,216.58.208.227"
1472,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1359,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
96,"172.16.254.128,216.58.208.227"
100,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
60,"216.58.208.227,172.16.254.128"
75,"172.16.254.128,8.8.8.8"
91,"8.8.8.8,172.16.254.128"
322,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
165,"216.58.208.227,172.16.254.128"
1454,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1454,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1154,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1394,"216.58.208.227,172.16.254.128"
1454,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1412,"216.58.208.227,172.16.254.128"
1436,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1394,"216.58.208.227,172.16.254.128"
1454,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1454,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1274,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1216,"216.58.208.227,172.16.254.128"
1454,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
54,"172.16.254.128,216.58.208.227"
1454,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1394,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1454,"216.58.208.227,172.16.254.128"
96,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1334,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1514,"216.58.208.227,172.16.254.128"
1412,"216.58.208.227,172.16.254.128"
1436,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
96,"172.16.254.128,216.58.208.227"
1454,"216.58.208.227,172.16.254.128"
60,"216.58.208.227,172.16.254.128"
1514,"216.58.208.227,172.16.254.128"
1394,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
1514,"216.58.208.227,172.16.254.128"
1327,"216.58.208.227,172.16.254.128"
54,"172.16.254.128,216.58.208.227"
100,"172.16.254.128,216.58.208.227"
60,"216.58.208.227,172.16.254.128"
75,"172.16.254.128,8.8.8.8"
112,"8.8.8.8,172.16.254.128"
66,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
571,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
207,"216.58.208.238,172.16.254.128"
270,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
107,"172.16.254.128,216.58.208.238"
104,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
96,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
60,"216.58.208.238,172.16.254.128"
643,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
152,"216.58.208.238,172.16.254.128"
92,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
299,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
1454,"216.58.208.238,172.16.254.128"
1454,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
1454,"216.58.208.238,172.16.254.128"
1454,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
1454,"216.58.208.238,172.16.254.128"
1454,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
1454,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
1274,"216.58.208.238,172.16.254.128"
1454,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
1454,"216.58.208.238,172.16.254.128"
1454,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
1454,"216.58.208.238,172.16.254.128"
1472,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
1436,"216.58.208.238,172.16.254.128"
1472,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
1472,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
1000,"216.58.208.238,172.16.254.128"
1454,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
1514,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
1514,"216.58.208.238,172.16.254.128"
1220,"216.58.208.238,172.16.254.128"
1472,"216.58.208.238,172.16.254.128"
54,"172.16.254.128,216.58.208.238"
54,"172.16.254.128,216.58.208.238"
1472,"216.58.208.238,172.16.254.128"
96,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
456,"216.58.208.238,172.16.254.128"
100,"172.16.254.128,216.58.208.238"
60,"216.58.208.238,172.16.254.128"
478,"172.16.254.128,198.41.209.141"
60,"198.41.209.141,172.16.254.128"
1514,"198.41.209.141,172.16.254.128"
1514,"198.41.209.141,172.16.254.128"
1514,"198.41.209.141,172.16.254.128"
1514,"198.41.209.141,172.16.254.128"
1514,"198.41.209.141,172.16.254.128"
1514,"198.41.209.141,172.16.254.128"
1514,"198.41.209.141,172.16.254.128"
54,"172.16.254.128,198.41.209.141"
1514,"198.41.209.141,172.16.254.128"
54,"172.16.254.128,198.41.209.141"
1514,"198.41.209.141,172.16.254.128"
1514,"198.41.209.141,172.16.254.128"
54,"172.16.254.128,198.41.209.141"
1514,"198.41.209.141,172.16.254.128"
1514,"198.41.209.141,172.16.254.128"
1514,"198.41.209.141,172.16.254.128"
54,"172.16.254.128,198.41.209.141"
1514,"198.41.209.141,172.16.254.128"
251,"198.41.209.141,172.16.254.128"
54,"172.16.254.128,198.41.209.141"
483,"172.16.254.128,198.41.208.122"
60,"198.41.208.122,172.16.254.128"
512,"172.16.254.128,198.41.208.145"
60,"198.41.208.145,172.16.254.128"
475,"172.16.254.128,198.41.208.122"
514,"172.16.254.128,198.41.208.145"
60,"198.41.208.122,172.16.254.128"
470,"172.16.254.128,198.41.208.122"
60,"198.41.208.145,172.16.254.128"
60,"198.41.208.122,172.16.254.128"
929,"198.41.208.145,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
54,"172.16.254.128,198.41.208.122"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
54,"172.16.254.128,198.41.208.122"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
54,"172.16.254.128,198.41.208.122"
1514,"198.41.208.145,172.16.254.128"
1514,"198.41.208.145,172.16.254.128"
195,"198.41.208.145,172.16.254.128"
54,"172.16.254.128,198.41.208.145"
514,"172.16.254.128,198.41.208.145"
60,"198.41.208.145,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
54,"172.16.254.128,198.41.208.122"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
939,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
54,"172.16.254.128,198.41.208.122"
54,"172.16.254.128,198.41.208.122"
1514,"198.41.208.145,172.16.254.128"
1514,"198.41.208.145,172.16.254.128"
54,"172.16.254.128,198.41.208.145"
1514,"198.41.208.145,172.16.254.128"
929,"198.41.208.145,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.122,172.16.254.128"
1514,"198.41.208.145,172.16.254.128"
